zcta,demand_supply_gap_2019,demand_supply_gap_2021,demand_supply_gap_2022,demand_supply_gap_2023,pct_hh_income_100k_plus_2019,pct_hh_income_100k_plus_2021,pct_hh_income_100k_plus_2022,pct_hh_income_100k_plus_2023,pct_pop_25_44_2019,pct_pop_25_44_2021,pct_pop_25_44_2022,pct_pop_25_44_2023,total_population_2019,total_population_2021,total_population_2022,total_population_2023,units_per_target_hh_2019,units_per_target_hh_2021,units_per_target_hh_2022,units_per_target_hh_2023,pct_pop_25_44_change_19_23,pct_pop_25_44_pct_change_19_23,pct_hh_income_100k_plus_change_19_23,pct_hh_income_100k_plus_pct_change_19_23,total_population_change_19_23,total_population_pct_change_19_23,demand_supply_gap_change_19_23,demand_supply_gap_pct_change_19_23,units_per_target_hh_change_19_23,units_per_target_hh_pct_change_19_23,score_density,score_growth,score_affordability,score_penetration,opportunity_score,investment_tier,rationale
97434,-172.0,-114.0,-111.0,-114.0,16.67,34.81,28.04,27.1,16.37,21.57,23.13,27.91,959.0,1085.0,817.0,799.0,6.491228070175438,3.588235294117647,4.542168674698795,4.482758620689655,11.54,70.49,10.43,62.57,-160.0,-16.68,58.0,-33.72,-2.0084694494857835,-30.941286113699913,27.1,55.22,50.0,65.64,45.64,MONITOR,ZIP 97434: buyer-pool density and growth insufficient for near-term development investment.
99727,-55.0,-58.0,-67.0,-69.0,23.68,33.87,32.33,30.82,27.56,28.95,27.17,27.19,675.0,677.0,644.0,629.0,4.407407407407407,3.238095238095238,3.372093023255814,3.533333333333333,-0.37,-1.34,7.14,30.15,-46.0,-6.81,-14.0,25.45,-0.8740740740740742,-19.831932773109248,30.82,53.57,50.0,59.76,45.64,MONITOR,ZIP 99727: buyer-pool density and growth insufficient for near-term development investment.
97627,-175.0,-62.0,-45.0,-65.0,29.32,39.01,48.33,34.31,12.38,4.32,0.0,0.0,638.0,671.0,654.0,445.0,4.358974358974359,3.7464788732394365,2.7011494252873565,4.042553191489362,-12.38,-100.0,4.99,17.02,-193.0,-30.25,110.0,-62.86,-0.3164211674849966,-7.259073842302864,34.31,52.5,50.0,53.11,45.6,MONITOR,ZIP 97627: buyer-pool density and growth insufficient for near-term development investment.
98644,-102.0,-252.0,-241.0,-214.0,23.58,22.6,22.03,30.56,23.03,3.34,5.63,4.66,495.0,628.0,657.0,686.0,8.06,7.67816091954023,8.49438202247191,6.454545454545454,-18.37,-79.77,6.98,29.6,191.0,38.59,-112.0,109.8,-1.6054545454545464,-19.91879088653283,30.56,53.49,50.0,59.81,45.54,MONITOR,ZIP 98644: buyer-pool density and growth insufficient for near-term development investment.
98824,-16.0,-12.0,-27.0,-22.0,17.82,47.83,28.33,24.62,25.7,18.63,22.08,15.48,467.0,161.0,231.0,239.0,8.5,2.3181818181818183,4.294117647058823,4.5625,-10.22,-39.77,6.8,38.16,-228.0,-48.82,-6.0,37.5,-3.9375,-46.32352941176471,24.62,53.4,50.0,73.77,45.53,MONITOR,ZIP 98824: buyer-pool density and growth insufficient for near-term development investment.
97828,-440.0,-507.0,-490.0,-513.0,35.08,32.9,34.69,36.94,20.56,18.73,20.3,21.25,3162.0,3192.0,3301.0,3369.0,3.1964636542239684,3.6405228758169934,3.4817813765182186,3.2086466165413534,0.69,3.36,1.86,5.3,207.0,6.55,-73.0,16.59,0.012182962317385027,0.3811387719452353,36.94,50.93,50.0,49.07,45.52,MONITOR,ZIP 97828: buyer-pool density and growth insufficient for near-term development investment.
92372,-649.0,-732.0,-819.0,-715.0,41.69,37.9,33.88,38.87,19.83,23.43,27.21,27.94,6071.0,5701.0,5208.0,4854.0,2.8163972286374133,2.9826338639652676,3.379644588045234,2.863095238095238,8.11,40.9,-2.82,-6.76,-1217.0,-20.05,-66.0,10.17,0.046698009457824874,1.6580761045705759,38.87,48.59,50.0,48.39,45.51,MONITOR,ZIP 92372: buyer-pool density and growth insufficient for near-term development investment.
95333,-308.0,-247.0,-210.0,-247.0,32.02,36.65,41.29,34.86,27.45,26.66,27.78,25.73,2539.0,3031.0,3157.0,3203.0,3.45,2.924398625429553,2.7035928143712575,3.204379562043796,-1.72,-6.27,2.84,8.87,664.0,26.15,61.0,-19.81,-0.24562043795620436,-7.1194329842378075,34.86,51.42,50.0,53.03,45.51,MONITOR,ZIP 95333: buyer-pool density and growth insufficient for near-term development investment.
97496,-1054.0,-1052.0,-1270.0,-1360.0,26.55,31.99,32.09,32.07,24.82,25.04,20.92,18.72,7737.0,7329.0,7289.0,7557.0,4.092964824120603,3.363218390804598,3.351966873706004,3.4786917740336967,-6.1,-24.58,5.52,20.79,-180.0,-2.33,-306.0,29.03,-0.6142730500869065,-15.008021727107968,32.07,52.76,50.0,57.21,45.5,MONITOR,ZIP 97496: buyer-pool density and growth insufficient for near-term development investment.
99681,-43.0,-23.0,-34.0,-29.0,21.95,19.23,25.93,29.33,21.95,24.6,24.22,24.2,401.0,309.0,450.0,405.0,4.833333333333333,5.9,4.190476190476191,3.6818181818181817,2.25,10.25,7.38,33.62,4.0,1.0,14.0,-32.56,-1.1515151515151514,-23.824451410658305,29.33,53.69,50.0,61.87,45.47,MONITOR,ZIP 99681: buyer-pool density and growth insufficient for near-term development investment.
96048,-235.0,-236.0,-171.0,-137.0,23.37,27.43,29.33,30.58,14.66,18.46,25.18,27.4,730.0,1235.0,1283.0,1197.0,5.523255813953488,4.490909090909091,4.32,4.5,12.74,86.9,7.21,30.85,467.0,63.97,98.0,-41.7,-1.0232558139534884,-18.526315789473685,30.58,53.6,50.0,59.07,45.46,MONITOR,ZIP 96048: buyer-pool density and growth insufficient for near-term development investment.
95950,-68.0,-109.0,-54.0,-55.0,0.0,5.37,27.49,24.0,23.71,11.68,10.63,0.0,350.0,531.0,442.0,452.0,,23.90909090909091,4.425531914893617,5.0,-23.71,-100.0,24.0,inf,102.0,29.14,13.0,-19.12,,,24.0,62.0,50.0,60.17,45.43,MONITOR,ZIP 95950: buyer-pool density and growth insufficient for near-term development investment.
99725,,-249.0,-228.0,-104.0,,0.0,0.0,32.59,,15.22,15.48,13.16,,611.0,562.0,494.0,,,,3.0681818181818183,,,,,,,,,,,32.59,50.0,50.0,60.17,45.43,MONITOR,ZIP 99725: buyer-pool density and growth insufficient for near-term development investment.
97908,-6.0,-2.0,-2.0,-2.0,26.32,20.0,30.0,37.5,13.16,31.58,16.0,15.0,38.0,19.0,25.0,20.0,7.0,15.5,10.666666666666666,8.333333333333334,1.84,13.98,11.18,42.48,-18.0,-47.37,4.0,-66.67,1.333333333333334,19.047619047619055,37.5,55.59,50.0,39.19,45.4,MONITOR,ZIP 97908: buyer-pool density and growth insufficient for near-term development investment.
97457,-2083.0,-1766.0,-1666.0,-1752.0,23.49,28.59,30.55,29.7,22.31,23.81,23.77,23.13,10288.0,9826.0,9632.0,10158.0,4.7507987220447285,3.8184233835252437,3.576243980738363,3.656786271450858,0.82,3.68,6.21,26.44,-130.0,-1.26,331.0,-15.89,-1.0940124505938704,-23.027968865896533,29.7,53.1,50.0,61.45,45.39,MONITOR,ZIP 97457: buyer-pool density and growth insufficient for near-term development investment.
99173,-382.0,-287.0,-360.0,-381.0,21.81,32.3,27.23,28.85,21.58,20.82,24.66,20.14,1673.0,1638.0,1898.0,1773.0,5.571428571428571,3.8882978723404253,4.491525423728813,4.15,-1.44,-6.67,7.04,32.28,100.0,5.98,1.0,-0.26,-1.4214285714285708,-25.512820512820504,28.85,53.52,50.0,62.76,45.39,MONITOR,ZIP 99173: buyer-pool density and growth insufficient for near-term development investment.
97620,-13.0,-3.0,-6.0,-10.0,32.63,37.04,42.86,41.38,26.55,41.18,17.95,17.14,177.0,51.0,39.0,70.0,4.774193548387097,7.1,7.444444444444445,6.333333333333333,-9.41,-35.44,8.75,26.82,-107.0,-60.45,3.0,-23.08,1.559139784946236,32.657657657657644,41.38,54.37,50.0,31.989999999999995,45.37,MONITOR,ZIP 97620: buyer-pool density and growth insufficient for near-term development investment.
93706,-2307.0,-1877.0,-1230.0,-1210.0,19.05,22.13,25.75,27.0,26.02,26.67,27.05,25.46,40586.0,41470.0,41523.0,40635.0,5.696335078534031,4.826677006591702,4.0906394199077125,3.8990124243389617,-0.56,-2.15,7.95,41.73,49.0,0.12,1097.0,-47.55,-1.7973226541950695,-31.552263506549476,27.0,53.98,50.0,65.96000000000001,45.34,MONITOR,ZIP 93706: buyer-pool density and growth insufficient for near-term development investment.
98356,-396.0,-409.0,-508.0,-486.0,27.85,30.41,32.61,30.7,23.33,21.11,18.46,17.92,2010.0,2350.0,2367.0,2227.0,4.738095238095238,3.8303249097472922,3.550632911392405,3.6354515050167224,-5.41,-23.19,2.85,10.23,217.0,10.8,-90.0,22.73,-1.1026437330785157,-23.271877783566662,30.7,51.42,50.0,61.58,45.34,MONITOR,ZIP 98356: buyer-pool density and growth insufficient for near-term development investment.
95595,-34.0,-35.0,-15.0,-26.0,30.0,33.04,41.89,31.52,6.47,8.41,5.59,34.85,139.0,226.0,143.0,307.0,7.888888888888889,4.756756756756757,4.387096774193548,6.206896551724138,28.38,438.64,1.52,5.07,168.0,120.86,8.0,-23.53,-1.6819923371647514,-21.321029626032058,31.52,50.76,50.0,60.55,45.3,MONITOR,ZIP 95595: buyer-pool density and growth insufficient for near-term development investment.
96057,-291.0,-240.0,-237.0,-247.0,25.04,25.66,29.71,30.68,17.0,6.94,9.24,7.43,1235.0,1052.0,1158.0,1076.0,6.928104575163399,7.125984251968504,6.006410256410256,5.722222222222222,-9.57,-56.29,5.64,22.52,-159.0,-12.87,44.0,-15.12,-1.2058823529411766,-17.405660377358494,30.68,52.82,50.0,58.48,45.22,MONITOR,ZIP 96057: buyer-pool density and growth insufficient for near-term development investment.
92378,-58.0,-67.0,-69.0,-73.0,38.3,31.47,37.2,43.15,17.09,23.32,32.72,35.96,234.0,446.0,437.0,445.0,2.888888888888889,7.066666666666666,5.737704918032787,3.9529411764705884,18.87,110.42,4.85,12.66,211.0,90.17,-15.0,25.86,1.0640522875816996,36.83257918552037,43.15,52.42,50.0,29.790000000000006,45.18,MONITOR,ZIP 92378: buyer-pool density and growth insufficient for near-term development investment.
95422,-2149.0,-2329.0,-2289.0,-2136.0,13.79,19.67,22.32,23.25,23.59,24.23,25.81,25.22,15696.0,16759.0,16998.0,17101.0,10.279805352798054,6.859983429991715,6.0619865571321885,5.805739514348786,1.63,6.91,9.46,68.6,1405.0,8.95,13.0,-0.6,-4.474065838449268,-43.52286531603903,23.25,54.73,50.0,72.28999999999999,45.16,MONITOR,ZIP 95422: buyer-pool density and growth insufficient for near-term development investment.
93640,-819.0,-917.0,-843.0,-822.0,11.06,16.35,18.96,21.43,29.13,27.5,28.7,31.35,12920.0,13884.0,14162.0,14507.0,9.609756097560975,6.520161290322581,5.581320450885668,4.810109289617486,2.22,7.62,10.37,93.76,1587.0,12.28,-3.0,0.37,-4.799646807943489,-49.945563229868796,21.43,55.19,50.0,75.69,45.15,MONITOR,ZIP 93640: buyer-pool density and growth insufficient for near-term development investment.
97458,-775.0,-835.0,-762.0,-858.0,28.41,27.84,32.13,31.7,17.43,17.14,19.96,21.57,4390.0,4657.0,4754.0,4790.0,4.09927797833935,4.025179856115108,3.393019726858877,3.4686131386861314,4.14,23.75,3.29,11.58,400.0,9.11,-83.0,10.71,-0.6306648396532184,-15.384778563094805,31.7,51.65,50.0,57.41,45.12,MONITOR,ZIP 97458: buyer-pool density and growth insufficient for near-term development investment.
99003,-750.0,-823.0,-810.0,-764.0,45.51,40.45,41.82,42.6,21.68,21.8,20.33,20.33,4410.0,4147.0,4413.0,4634.0,2.2563482466747278,2.884502923976608,2.7809139784946235,2.7719528178243773,-1.35,-6.23,-2.91,-6.39,224.0,5.08,-14.0,1.87,0.5156045711496495,22.851285120083613,42.6,48.54,50.0,37.18,45.12,MONITOR,ZIP 99003: buyer-pool density and growth insufficient for near-term development investment.
98564,-528.0,-669.0,-612.0,-553.0,28.25,25.13,29.73,31.88,16.7,21.31,24.47,24.68,2198.0,2684.0,3106.0,3205.0,4.357664233576642,4.887323943661972,4.19327731092437,3.7482014388489207,7.98,47.78,3.63,12.85,1007.0,45.81,-25.0,4.73,-0.6094627947277216,-13.98599713194269,31.88,51.82,50.0,56.67,45.11,MONITOR,ZIP 98564: buyer-pool density and growth insufficient for near-term development investment.
95558,-78.0,-51.0,-45.0,-52.0,34.95,31.85,35.34,34.09,23.08,13.91,10.98,13.93,416.0,266.0,246.0,244.0,4.815384615384615,5.162790697674419,4.531914893617022,4.288888888888889,-9.15,-39.64,-0.86,-2.46,-172.0,-41.35,26.0,-33.33,-0.5264957264957264,-10.93361732339368,34.09,49.57,50.0,55.05,45.08,MONITOR,ZIP 95558: buyer-pool density and growth insufficient for near-term development investment.
93703,-1683.0,-1981.0,-1801.0,-1166.0,21.96,21.68,24.52,28.5,26.71,26.55,26.82,27.57,32754.0,32329.0,32603.0,34166.0,4.873045078196872,4.860142984807864,4.331094429079415,3.7257849031396124,0.86,3.22,6.54,29.78,1412.0,4.31,517.0,-30.72,-1.14726017505726,-23.54298301467324,28.5,53.27,50.0,61.72,45.05,MONITOR,ZIP 93703: buyer-pool density and growth insufficient for near-term development investment.
